intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
2492000,0.057104883246637185,0.4903581267217631,0.057104883246637185,0.07458621412109784,1.7142857142857142,1.0,1.4145783376764705,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCF_000025985.1 Bacteroides fragilis NCTC 9343, ASM2598v1",dec6823a28f0aea55b13c3be158528c4,0.4903581267217631,2492000,0,27419000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.9117855084444108,0.9772744857660209,0.9445299971052159,0.9772744857660209,False,4272,4272,57276
1420000,0.03253970072641445,0.5521400778210117,0.03251678544421274,0.06386619177316852,2.5778717406624385,2.0,1.9986156542047842,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCF_000220235.1 Prevotella nigrescens ATCC 33563 strain=ATCC 33563, ASM22023v1",8814fea6230158cc3d23dbea0337a6b7,0.5525291828793775,1419000,1,26000000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.8953922693837713,0.9810448857206542,0.9382185775522127,0.9810448857206542,False,3658,7930,57276
1337000,0.03063773230367332,0.20286506469500923,0.030179426659639314,0.029663384314547105,1.2900531511009872,1.0,0.6006827906163238,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCF_001314995.1 Bacteroides ovatus strain=ATCC 8483, ASM131499v1",514bdd6aa640f40cc6414be0e11ec2f6,0.20594577942082562,1317000,2,24683000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.8936543388799854,0.9503049613814445,0.9219796501307149,0.9503049613814445,False,1699,9629,57276
1327000,0.030408579481656317,0.2866578599735799,0.029835697426613808,0.03147915357217683,1.3847926267281105,1.0,0.7333502096277029,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCA_025147485.1 Bacteroides uniformis strain=ATCC 8492, ASM2514748v1",2fc80b3803e2d9af5d93edb14dd1cc3b,0.29216204315279615,1302000,3,23381000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.8934379409500061,0.961085572552742,0.927261756751374,0.961085572552742,False,1803,11432,57276
1196000,0.027406677513233575,0.25011047282368537,0.025940099452324755,0.02383197150639011,1.2058303886925794,1.0,0.4727947875784303,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCF_002222615.2 Bacteroides caccae strain=ATCC 43185, ASM222261v2",47030cb09435e5a03e1ce6a49f0753a5,0.26425099425541315,1132000,4,22249000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.8904474009654283,0.9579776460930859,0.9242125235292571,0.9579776460930859,False,1365,12797,57276
1136000,0.026031760581131557,0.2224,0.02548179380829075,0.024303373140582445,1.2517985611510791,1.0,0.7330190373125912,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCF_000012825.1 Bacteroides vulgatus ATCC 8482 strain=ATCC 8482, ASM1282v1",960cc77fc7b96d595712107aaa1524b5,0.2272,1112000,5,21137000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.8889702167583127,0.9533206013992576,0.9211454090787852,0.9533206013992576,False,1392,14189,57276
1043000,0.023900639336373427,0.1484126984126984,0.021425788858589794,0.018978280606187583,1.1625668449197861,1.0,0.42801599196995443,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCF_000011065.1 Bacteroides thetaiotaomicron VPI-5482 strain=VPI-5482, ASM1106v1",df098e390010d8add7b59e4ff0574d30,0.16555555555555557,935000,6,20202000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.8865242700592347,0.943636296349024,0.9150802832041294,0.943636296349024,False,1087,15276,57276
831000,0.01904259950961296,0.475672581568403,0.01904259950961296,0.02130037013757944,1.4681107099879662,1.0,0.7366174143883117,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCA_900105895.1 Atopobium minutum strain=DSM 20586, IMG-taxon 2634166360 annotated assembly",662d6156e4ac82a39245bbeb3481099b,0.475672581568403,831000,7,19371000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.8800498998768592,0.976316399772789,0.9281831498248241,0.976316399772789,False,1220,16496,57276
690000,0.015811544719173218,0.27804681194511705,0.015788629436971516,0.017825965500384105,1.481857764876633,1.0,0.8135492863420329,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCF_003865035.1 Anaerotignum faecicola strain=KCTC 15736, ASM386503v1",0fa52b16ef37ab178f2b54115192a175,0.2784503631961259,689000,8,18682000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.8747871537474492,0.9595964626087944,0.9171918081781218,0.9595964626087944,False,1021,17517,57276
1199000,0.027475423359838675,0.11721739130434783,0.015444900203946012,0.014718206578671695,1.2507418397626113,1.0,0.5563560825796026,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-reps.k31.zip,"GCF_000210075.1 Bacteroides xylanisolvens XB1A strain=XB1A, ASM21007v1",c08f8e47dd318b08d89c36c36e6da9e1,0.20852173913043479,674000,9,18008000,ERR2726543.fastq.gz,,ec506ee6,43639000,31,DNA,1000,43639,True,0.8905193641021606,0.9506860908506786,0.9206027274764196,0.9506860908506786,False,843,18360,57276
