intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
5687000,0.007685280532334395,0.792392364497701,0.007685280532334395,0.005838594999378003,8.789344118164234,4.0,135.26066482002983,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_023656795.1 Parabacteroides sp. W1-Q-101 strain=W1-Q-101, ASM2365679v1",af7593ab7397a79a50db8f41d003cc4b,0.792392364497701,5687000,0,473265000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8546641258050186,0.9925216962526019,0.9235929110288102,0.9925216962526019,False,49985,49985,8561135
5623000,0.007598792409586127,0.7862638131207161,0.007596089655750244,0.003485168730547994,5.308130225938445,3.0,99.77663928723864,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_918258265.1 Bacteroides ovatus strain=VPIC145, BOVAC1",d7ca7470d77ebe0344d62e56d1ab47e0,0.7865435725276262,5621000,1,467644000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8543521603488847,0.9922845260806739,0.9233183432147793,0.9922845260806739,False,29837,79822,8561135
5225000,0.007060944396245335,0.856136326396854,0.007060944396245335,0.0046471641902621555,7.614354066985646,6.0,9.755772904570179,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_002903025.1 Klebsiella pneumoniae strain=KPNIH49, ASM290302v1",5abd26cc4b105ac48bb8dbf1b6dcc284,0.856136326396854,5225000,2,462419000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8523313782996051,0.9950020266186541,0.9236667024591296,0.9950020266186541,False,39785,119607,8561135
4916000,0.006643368928601352,0.9420879333720705,0.006573097328868384,0.004028321011174336,7.0902549342105265,6.0,4.269242864836331,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_005385505.1 Escherichia coli strain=JML043, ASM538550v1",231a856fe9d99dd23a23dec432da32b4,0.9521595971334496,4864000,3,457555000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8506569675676007,0.9984198750626414,0.9245384213151211,0.9984198750626414,False,34487,154094,8561135
4599000,0.006214982445613836,0.8578534532236465,0.0060595741000505415,0.00980395706877651,18.718331846565565,10.0,121.04216579129529,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_003437415.1 Bacteroides vulgatus strain=TM05-16, ASM343741v1",fc11a63b7229f0718b64efa8c4ba3ff7,0.8798546011096231,4484000,4,453071000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8488298471696887,0.9958795250914183,0.9223546861305535,0.9958795250914183,False,83933,238027,8561135
4418000,0.00597038322346639,0.794200187090739,0.0057365950166624775,0.0036481144147358967,7.35736160188457,4.0,53.608265633907656,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_015558175.1 Parabacteroides distasonis strain=BSD2780120874_150323_E11, ASM1555817v1",5e34343c4baf679d88ed03d3447b7635,0.8265668849391955,4245000,5,448826000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8477311384605273,0.9938745010779559,0.9208028197692416,0.9938745010779559,False,31232,269259,8561135
4320000,0.005837948285508104,0.8034402783146501,0.005617673847883609,0.0032399909591426836,6.672600433004571,4.0,42.26315775060494,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_015558445.1 Parabacteroides merdae strain=BSD2780120875b_170604_B5, ASM1555844v1",6d58b470573e738a6346f14f0f81eb1f,0.83494395052184,4157000,6,444669000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8471179392823748,0.9941978436614552,0.920657891471915,0.9941978436614552,False,27738,296997,8561135
3482000,0.004705494428272968,0.72245164094762,0.0044919768752381805,0.002063044210843539,5.313477737665464,3.0,8.862422125571252,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_015549315.1 Odoribacter splanchnicus strain=BSD2780120875_150330_B5, ASM1554931v1",f4c39b2fe9a0b50364ad7b518552d56a,0.7567920017387525,3324000,7,441345000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8412454928921279,0.9910510299621882,0.9161482614271581,0.9910510299621882,False,17662,314659,8561135
3699000,0.004998743219466314,0.7130281690140845,0.0043784612141310785,0.0021312594650125245,5.631481481481481,4.0,16.959519604417455,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCF_015557855.1 Phocaeicola massiliensis strain=1001275B_160808_C5, ASM1555785v1",c7e844714fc05e59e7e960b6f547820d,0.8140404929577465,3240000,8,438105000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8428876762691528,0.9933850349264868,0.9181363555978198,0.9933850349264868,False,18246,332905,8561135
3350000,0.004527112675104664,0.8692951660815555,0.004350082298854302,0.012791177805279323,34.01894998446723,17.0,252.50025903981924,/data/namlhs/StrainDB_CRC/sourmash/database/gtdb-rs214-k31.zip,"GCA_019412015.1 Phocaeicola plebeius, ASM1941201v1",4ddb71ea193bdb115711a3616b69cebd,0.9046718876586551,3219000,9,434886000,../test_fastq/new_control/DRR127524_2.fastq.gz,DRR127524,b617dfc4,739986000,31,DNA,1000,739986,True,0.8401973982675176,0.9967735080872778,0.9184854531773977,0.9967735080872778,False,109507,442412,8561135
